iter	Passed	Remaining
0	1	150
1	2	133
2	3	124
3	4	117
4	6	118
5	7	116
6	8	114
7	9	111
8	10	110
9	12	108
10	13	106
11	14	105
12	15	104
13	16	102
14	17	101
15	19	99
16	20	98
17	21	97
18	22	95
19	23	94
20	24	93
21	25	91
22	27	90
23	28	89
24	29	88
25	30	88
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	22
81	94	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	115	0
